YYYYMMDD,PRECIPITATION,MEAN TEMP
20130101,0,60.5
20130102,0,68
20130103,0.15,56.5
20130104,0,53.5
20130105,0,54.5
20130106,0.04,61
20130107,0,56
20130108,0,66.5
20130109,0,71.5
20130110,0,73.5
20130111,0,69
20130112,0,70
20130113,0,69.5
20130114,0,69
20130115,0,67.5
20130116,0,68.5
20130117,0.01,54
20130118,0,50.5
20130119,0,59.5
20130120,0,61.5
20130121,0,58
20130122,0,50.5
20130123,0,48
20130124,0,56.5
20130125,0,61
20130126,0,60
20130127,0,63
20130128,0,67
20130129,0,70.5
20130130,0.13,70.5
20130131,0,49
20130201,0,51
20130202,0,48.5
20130203,0,52
20130204,0,49.5
20130205,0,54.5
20130206,0.02,64.5
20130207,0.27,66.5
20130208,0,62.5
20130209,0,59.5
20130210,0,61.5
20130211,0,71
20130212,0,73.5
20130213,0.04,69.5
20130214,0.09,55.5
20130215,0,53
20130216,0,48.5
20130217,0,40.5
20130218,0,44.5
20130219,0,59
20130220,0,58.5
20130221,0,59.5
20130222,0,70
20130223,0.14,70.5
20130224,0.01,66.5
20130225,0.54,67
20130226,0.53,68
20130227,0,60
20130228,0,58
20130301,0,53.5
20130302,0,44.5
20130303,0,39.5
20130304,0,46
20130305,0,56
20130306,0.02,53.5
20130307,0,50.5
20130308,0,54.5
20130309,0,54.5
20130310,0,62.5
20130311,0,65
20130312,0.3,59
20130313,0,58.5
20130314,0,50.5
20130315,0,53
20130316,0,60
20130317,0.06,58.5
20130318,0.02,67.5
20130319,0.06,70
20130320,0.11,61.5
20130321,0,54
20130322,0,55
20130323,0.11,65
20130324,0.3,73.5
20130325,0,56.5
20130326,0,46
20130327,0,46
20130328,0,51
20130329,0,54.5
20130330,0,58.5
20130331,0,65.5
20130401,0,70
20130402,0,66.5
20130403,0.53,66.5
20130404,0.04,70
20130405,0.02,60
20130406,0,61
20130407,0,65.5
20130408,0,69
20130409,0,72
20130410,0,70.5
20130411,0.15,79
20130412,0,78
20130413,0,71.5
20130414,1.73,68
20130415,0,73.5
20130416,0,74
20130417,0,73.5
20130418,0,74
20130419,0.06,76.5
20130420,0.34,56
20130421,0.24,61
20130422,0,62.5
20130423,0,65.5
20130424,0,68.5
20130425,0,72
20130426,0,72
20130427,0,71
20130428,0,72
20130429,0.37,72.5
20130430,0,75.5
20130501,0,71.5
20130502,1.52,71.5
20130503,1.79,67.5
20130504,0.15,69.5
20130505,0,66.5
20130506,0,63
20130507,0,64.5
20130508,0,67
20130509,0,70.5
20130510,0,74
20130511,0.17,75.5
20130512,0,75.5
20130513,0,66.5
20130514,0,63
20130515,0,68.5
20130516,0,72.5
